color
#9ACD32
#377DB8
#F5DEB3
#EE82EE
#40E0D0
#FF6347
#D8BFD8
#D2B48C
#4682B4
#00FF7F
#FFFAFA
#708090
#708090
#6A5ACD
#87CEEB
#A0522D
#FFF5EE
#2E8B57
#F4A460
#FA8072
#9ACD32
#377DB8
#F5DEB3
#EE82EE
#40E0D0
#FF6347
#D8BFD8
#D2B48C
#4682B4
#00FF7F
#FFFAFA
#708090
#708090
#6A5ACD
#87CEEB
#A0522D
#FFF5EE
#2E8B57
#F4A460
#FA8072
#9ACD32
#377DB8
#F5DEB3
#EE82EE
#40E0D0
#FF6347
#D8BFD8
#D2B48C
#4682B4
#00FF7F
#FFFAFA
#708090
#708090
#6A5ACD
#87CEEB
#A0522D
#FFF5EE
#2E8B57
#F4A460
#FA8072
#9ACD32
#377DB8
#F5DEB3
#EE82EE
#40E0D0
#FF6347
#D8BFD8
#D2B48C
#4682B4
#00FF7F
#FFFAFA
#708090
#708090
#6A5ACD
#87CEEB
#A0522D
#FFF5EE
#2E8B57
#F4A460
#FA8072
#9ACD32
#377DB8
#F5DEB3
#EE82EE
#40E0D0
#FF6347
#D8BFD8
#D2B48C
#4682B4
#00FF7F
#FFFAFA
#708090
#708090
#6A5ACD
#87CEEB
#A0522D
#FFF5EE
#2E8B57
#F4A460
#FA8072
#9ACD32
#377DB8
#F5DEB3
#EE82EE
#40E0D0
#FF6347
#D8BFD8
#D2B48C
#4682B4
#00FF7F
#FFFAFA
#708090
#708090
#6A5ACD
#87CEEB
#A0522D
#FFF5EE
#2E8B57
#F4A460
#FA8072
#9ACD32
#377DB8
#F5DEB3
#EE82EE
#40E0D0
#FF6347
#D8BFD8
#D2B48C
#4682B4
#00FF7F
#FFFAFA
#708090
#708090
#6A5ACD
#87CEEB
#A0522D
#FFF5EE
#2E8B57
#F4A460
#FA8072
